geoid,B01001_001E,B01001_002E,B01001_003E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_001E,B02001_002E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19013_001E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B25002_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E
370479312002,1255,460,14,15,10,21,9,4,0,795,98,21,23,12,32,23,4,1255,670,768,26,0,0,0,0,0,0,0,9,6,28,41,0,6,0,263,83,140,115,22,16,8,0,5,27951,898,420,420,389,31,0,478,633,487,146,487,286,201
370479312001,962,429,6,16,5,18,11,12,23,533,16,0,11,10,34,64,56,962,737,704,6,0,0,0,0,15,0,0,0,25,27,6,53,39,18,189,28,68,87,54,51,38,0,0,32292,769,349,349,349,0,0,420,511,409,102,409,176,233
370479305001,1017,469,0,10,66,31,13,34,0,548,0,29,28,54,11,31,41,1017,370,817,0,0,0,0,0,0,0,0,0,0,0,0,15,9,19,276,19,130,199,75,66,9,0,0,31845,952,349,349,338,11,0,603,538,531,7,531,452,79
370479305002,1987,943,64,56,12,68,36,0,27,1044,53,49,54,130,21,43,10,1987,1465,1424,0,0,0,17,0,0,1,6,1,1,20,21,137,127,25,346,95,147,212,164,81,13,10,0,28341,1605,747,747,651,96,0,858,925,821,104,821,680,141
370479305003,1248,556,37,8,68,7,23,0,18,692,20,10,62,47,54,11,11,1248,631,892,24,0,0,0,0,0,0,0,0,0,8,0,56,10,0,122,33,146,177,194,49,41,32,0,43250,1053,477,477,399,78,0,576,647,466,181,466,372,94
370479309002,489,196,58,0,0,0,0,0,0,293,0,14,0,15,0,0,0,489,20,299,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,107,33,66,55,0,18,0,0,0,18068,338,39,39,39,0,0,299,322,161,161,161,53,108
370479309003,611,288,0,19,0,50,0,0,0,323,0,0,124,0,0,0,0,611,55,454,0,0,0,0,0,0,0,0,0,11,12,10,10,10,6,203,16,17,68,0,86,5,0,0,21563,533,132,132,132,0,0,401,281,199,82,199,147,52
370479309005,2300,911,103,0,30,45,0,0,68,1389,229,0,47,33,68,0,15,2300,966,1263,0,0,0,0,0,0,0,0,0,0,20,93,54,0,0,274,74,127,194,160,124,67,15,61,-666666666,1488,603,603,485,118,0,885,905,823,82,823,294,529
370479309004,604,218,0,0,15,33,0,15,0,386,0,0,34,0,47,0,38,604,352,504,0,0,0,0,0,0,23,0,0,17,0,0,14,0,17,174,10,88,48,17,66,30,0,0,31934,525,243,243,243,0,0,282,392,351,41,351,145,206
370479309001,760,377,0,0,12,44,74,14,0,383,30,0,0,121,0,0,29,760,446,685,62,0,0,0,0,0,0,0,0,0,19,0,14,70,0,261,92,18,115,17,17,0,0,0,22480,730,270,270,243,27,0,460,512,437,75,437,328,109
370479310001,1543,817,71,0,46,83,32,0,23,726,0,0,18,83,51,46,16,1543,1235,1134,15,0,0,0,0,0,0,0,0,0,16,69,17,13,28,447,0,153,92,106,103,63,0,12,40608,1337,587,587,543,44,0,750,752,702,50,702,530,172
370479310002,1411,769,34,0,78,18,75,14,0,642,21,39,0,0,33,0,0,1411,933,900,0,0,0,0,21,0,0,0,38,0,1,67,17,0,0,195,85,10,236,69,122,15,0,24,43511,1042,582,582,575,7,0,460,654,566,88,566,502,64
370479311001,1140,643,46,10,13,21,10,8,0,497,0,7,18,12,49,17,0,1140,955,710,0,0,0,0,0,0,0,0,10,0,10,52,0,11,0,247,24,73,135,100,48,0,0,0,43184,839,490,455,447,8,35,349,481,445,36,445,346,99
370479303003,774,383,6,11,20,11,39,54,0,391,20,7,18,36,38,5,8,774,629,549,2,0,0,0,0,0,0,0,0,0,0,0,30,0,38,130,0,57,97,92,61,23,14,5,58409,639,276,276,276,0,0,363,503,304,199,304,229,75
370479303002,928,378,27,20,18,13,21,24,7,550,17,5,23,50,21,41,77,928,798,673,4,0,0,0,0,0,0,0,11,22,14,0,0,24,36,128,22,47,108,65,118,48,17,9,50375,737,309,309,298,11,0,428,655,367,288,367,261,106
